,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
182,US Open,Jerome Golmard,4,4,8,50.0
183,US Open,Jerzy Janowicz,1,5,6,16.669999999999998
187,US Open,Jiri Novak,15,6,21,71.43
188,US Open,Jiri Vanek,1,6,7,14.29
189,US Open,Jiri Vesely,3,5,8,37.5
190,US Open,Jo Wilfried Tsonga,24,10,34,70.59
191,US Open,Joachim Johansson,5,2,7,71.43
192,US Open,Joao Sousa,8,7,15,53.33
193,US Open,John Isner,30,13,43,69.77
194,US Open,John Millman,6,5,11,54.55
195,US Open,John Van Lottum,2,4,6,33.33
196,US Open,Jonas Bjorkman,8,8,16,50.0
197,US Open,Jordan Thompson,2,4,6,33.33
198,US Open,Jose Acasuso,5,9,14,35.709999999999994
200,US Open,Juan Carlos Ferrero,23,11,34,67.65
201,US Open,Juan Ignacio Chela,13,10,23,56.52
203,US Open,Juan Martin Del Potro,35,9,44,79.55
204,US Open,Juan Monaco,6,12,18,33.33
205,US Open,Julien Benneteau,10,14,24,41.67
207,US Open,Jurgen Melzer,13,14,27,48.15
209,US Open,Justin Gimelstob,4,7,11,36.36
211,US Open,Karen Khachanov,3,4,7,42.86
213,US Open,Karol Beck,3,6,9,33.33
214,US Open,Karol Kucera,5,5,10,50.0
215,US Open,Kei Nishikori,25,10,35,71.43
216,US Open,Kenneth Carlsen,2,5,7,28.57
217,US Open,Kevin Anderson,22,9,31,70.97
219,US Open,Kristian Pless,4,5,9,44.440000000000005
220,US Open,Kyle Edmund,5,4,9,55.559999999999995
221,US Open,Lars Burgsmuller,1,5,6,16.669999999999998
223,US Open,Leonardo Mayer,8,9,17,47.06
224,US Open,Lleyton Hewitt,45,13,58,77.59
226,US Open,Lucas Pouille,10,5,15,66.67
227,US Open,Luis Horna,2,7,9,22.220000000000002
228,US Open,Lukas Rosol,1,6,7,14.29
229,US Open,Lukasz Kubot,2,4,6,33.33
230,US Open,Magnus Norman,3,3,6,50.0
231,US Open,Malek Jaziri,2,6,8,25.0
232,US Open,Marat Safin,18,7,25,72.0
233,US Open,Marc Gicquel,4,6,10,40.0
235,US Open,Marcel Granollers,12,11,23,52.17
236,US Open,Marcelo Rios,6,3,9,66.67
237,US Open,Marco Chiudinelli,6,5,11,54.55
238,US Open,Marcos Baghdatis,9,13,22,40.910000000000004
239,US Open,Mardy Fish,19,12,31,61.29
241,US Open,Mariano Zabaleta,4,7,11,36.36
242,US Open,Marin Cilic,36,10,46,78.25999999999999
245,US Open,Mark Philippoussis,3,6,9,33.33
246,US Open,Marsel Ilhan,3,3,6,50.0
247,US Open,Martin Klizan,5,7,12,41.67
249,US Open,Matteo Berrettini,5,2,7,71.43
250,US Open,Matthew Ebden,3,4,7,42.86
252,US Open,Max Mirnyi,11,8,19,57.89
253,US Open,Maximo Gonzalez,2,6,8,25.0
254,US Open,Michael Berrer,1,7,8,12.5
255,US Open,Michael Chang,2,4,6,33.33
257,US Open,Michael Llodra,10,11,21,47.620000000000005
259,US Open,Mikhail Kukushkin,10,10,20,50.0
260,US Open,Mikhail Youzhny,26,16,42,61.9
261,US Open,Milos Raonic,15,7,22,68.17999999999999
263,US Open,Mischa Zverev,4,5,9,44.440000000000005
264,US Open,Nick Kyrgios,8,7,15,53.33
265,US Open,Nicolas Almagro,13,11,24,54.169999999999995
269,US Open,Nicolas Kiefer,13,9,22,59.089999999999996
270,US Open,Nicolas Lapentti,5,8,13,38.46
271,US Open,Nicolas Mahut,8,13,21,38.1
272,US Open,Nicolas Massu,9,9,18,50.0
273,US Open,Nikolay Davydenko,26,13,39,66.67
274,US Open,Nikoloz Basilashvili,5,4,9,55.559999999999995
276,US Open,Novak Djokovic,72,11,83,86.75
277,US Open,Olivier Rochus,8,13,21,38.1
278,US Open,Pablo Andujar,6,7,13,46.150000000000006
279,US Open,Pablo Carreno Busta,13,6,19,68.42
280,US Open,Pablo Cuevas,5,10,15,33.33
281,US Open,Paolo Lorenzi,9,8,17,52.94
282,US Open,Paradorn Srichaphan,9,7,16,56.25
284,US Open,Paul Capdeville,3,4,7,42.86
285,US Open,Paul Goldstein,2,5,7,28.57
286,US Open,Paul Henri Mathieu,9,14,23,39.129999999999995
287,US Open,Pete Sampras,19,2,21,90.48
292,US Open,Philipp Kohlschreiber,24,17,41,58.540000000000006
293,US Open,Philipp Petzschner,5,6,11,45.45
294,US Open,Pierre Hugues Herbert,1,5,6,16.669999999999998
295,US Open,Potito Starace,2,8,10,20.0
296,US Open,Radek Stepanek,10,14,24,41.67
297,US Open,Radu Albot,2,6,8,25.0
298,US Open,Raemon Sluiter,2,5,7,28.57
299,US Open,Rafael Nadal,64,11,75,85.33
300,US Open,Rainer Schuettler,7,11,18,38.89
301,US Open,Rajeev Ram,2,7,9,22.220000000000002
302,US Open,Ramon Delgado,5,4,9,55.559999999999995
304,US Open,Ricardas Berankis,4,7,11,36.36
305,US Open,Ricardo Mello,4,5,9,44.440000000000005
307,US Open,Richard Gasquet,27,14,41,65.85
308,US Open,Richard Krajicek,4,2,6,66.67
310,US Open,Robby Ginepri,15,12,27,55.559999999999995
311,US Open,Robert Kendrick,2,6,8,25.0
312,US Open,Roberto Bautista Agut,11,7,18,61.11
314,US Open,Robin Haase,3,10,13,23.080000000000002
315,US Open,Robin Soderling,13,8,21,61.9
316,US Open,Roger Federer,89,14,103,86.41
317,US Open,Rogerio Dutra Silva,3,5,8,37.5
320,US Open,Ruben Ramirez Hidalgo,1,6,7,14.29
322,US Open,Ryan Harrison,4,9,13,30.769999999999996
323,US Open,Ryan Sweeting,1,5,6,16.669999999999998
325,US Open,Sam Querrey,18,13,31,58.06
328,US Open,Santiago Giraldo,1,8,9,11.110000000000001
329,US Open,Sargis Sargsian,6,4,10,60.0
330,US Open,Scoville Jenkins,1,5,6,16.669999999999998
331,US Open,Sebastien Grosjean,9,9,18,50.0
333,US Open,Sergiy Stakhovsky,5,8,13,38.46
335,US Open,Simone Bolelli,2,5,7,28.57
336,US Open,Sjeng Schalken,13,4,17,76.47
338,US Open,Somdev Devvarman,2,5,7,28.57
339,US Open,Stan Wawrinka,44,13,57,77.19
340,US Open,Stefan Koubek,6,8,14,42.86
344,US Open,Steve Darcis,5,9,14,35.709999999999994
345,US Open,Steve Johnson,5,9,14,35.709999999999994
348,US Open,Taylor Dent,10,8,18,55.559999999999995
349,US Open,Taylor Harry Fritz,3,4,7,42.86
350,US Open,Tennys Sandgren,3,3,6,50.0
351,US Open,Teymuraz Gabashvili,5,9,14,35.709999999999994
355,US Open,Thomas Enqvist,7,5,12,58.330000000000005
356,US Open,Thomas Fabbiano,3,4,7,42.86
357,US Open,Thomas Johansson,12,7,19,63.160000000000004
358,US Open,Thomaz Bellucci,6,10,16,37.5
359,US Open,Tim Henman,13,8,21,61.9
360,US Open,Tim Smyczek,4,7,11,36.36
361,US Open,Tobias Kamke,1,6,7,14.29
362,US Open,Todd Martin,9,5,14,64.29
363,US Open,Tomas Berdych,32,15,47,68.08999999999999
364,US Open,Tommy Haas,28,13,41,68.28999999999999
365,US Open,Tommy Robredo,35,15,50,70.0
368,US Open,Vasek Pospisil,4,8,12,33.33
370,US Open,Victor Hanescu,2,8,10,20.0
371,US Open,Viktor Troicki,8,9,17,47.06
372,US Open,Vincent Spadea,5,8,13,38.46
374,US Open,Wayne Arthurs,3,6,9,33.33
375,US Open,Wayne Ferreira,5,5,10,50.0
376,US Open,Wayne Odesnik,2,6,8,25.0
377,US Open,Wesley Moodie,3,3,6,50.0
378,US Open,Xavier Malisse,15,12,27,55.559999999999995
379,US Open,Yen Hsun Lu,3,11,14,21.43
380,US Open,Yevgeny Kafelnikov,10,4,14,71.43
381,US Open,Yoshihito Nishioka,2,5,7,28.57
382,US Open,Younes El Aynaoui,8,6,14,57.14
