,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
173,Wimbledon,Jiri Vesely,12,6,18,66.67
174,Wimbledon,Jo Wilfried Tsonga,32,11,43,74.42
175,Wimbledon,Joachim Johansson,5,2,7,71.43
176,Wimbledon,Joao Sousa,5,6,11,45.45
177,Wimbledon,John Isner,16,11,27,59.260000000000005
178,Wimbledon,John Millman,6,5,11,54.55
179,Wimbledon,Jonas Bjorkman,21,9,30,70.0
180,Wimbledon,Juan Carlos Ferrero,22,11,33,66.67
181,Wimbledon,Juan Ignacio Chela,4,9,13,30.769999999999996
182,Wimbledon,Juan Martin Del Potro,21,9,30,70.0
183,Wimbledon,Juan Monaco,6,8,14,42.86
185,Wimbledon,Julian Reister,3,4,7,42.86
186,Wimbledon,Julien Benneteau,11,14,25,44.0
187,Wimbledon,Jurgen Melzer,16,13,29,55.169999999999995
189,Wimbledon,Justin Gimelstob,7,5,12,58.330000000000005
190,Wimbledon,Karen Khachanov,7,3,10,70.0
191,Wimbledon,Karol Beck,7,8,15,46.67
192,Wimbledon,Karol Kucera,5,4,9,55.559999999999995
193,Wimbledon,Kei Nishikori,21,10,31,67.74
194,Wimbledon,Kenneth Carlsen,3,5,8,37.5
195,Wimbledon,Kenny De Schepper,4,5,9,44.440000000000005
196,Wimbledon,Kevin Anderson,20,11,31,64.52
197,Wimbledon,Kevin Kim,1,5,6,16.669999999999998
198,Wimbledon,Kristian Pless,1,5,6,16.669999999999998
199,Wimbledon,Kristof Vliegen,3,6,9,33.33
200,Wimbledon,Kyle Edmund,4,7,11,36.36
201,Wimbledon,Lars Burgsmuller,2,5,7,28.57
205,Wimbledon,Leonardo Mayer,8,9,17,47.06
207,Wimbledon,Lleyton Hewitt,39,15,54,72.22
208,Wimbledon,Lucas Pouille,8,5,13,61.53999999999999
210,Wimbledon,Lukas Lacko,6,9,15,40.0
211,Wimbledon,Lukas Rosol,5,6,11,45.45
212,Wimbledon,Lukasz Kubot,10,5,15,66.67
218,Wimbledon,Malek Jaziri,1,7,8,12.5
219,Wimbledon,Marat Safin,16,9,25,64.0
220,Wimbledon,Marc Gicquel,3,6,9,33.33
221,Wimbledon,Marc Rosset,4,4,8,50.0
222,Wimbledon,Marcel Granollers,6,12,18,33.33
223,Wimbledon,Marcos Baghdatis,22,14,36,61.11
225,Wimbledon,Mardy Fish,15,10,25,60.0
226,Wimbledon,Marin Cilic,29,12,41,70.73
227,Wimbledon,Marinko Matosevic,1,5,6,16.669999999999998
228,Wimbledon,Mario Ancic,17,6,23,73.91
230,Wimbledon,Mark Philippoussis,18,6,24,75.0
234,Wimbledon,Martin Klizan,1,7,8,12.5
235,Wimbledon,Martin Lee,3,5,8,37.5
236,Wimbledon,Martin Vassallo Arguello,2,4,6,33.33
