,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
204,French Open,Kevin Anderson,17,9,26,65.38000000000001
208,French Open,Kristian Pless,2,5,7,28.57
209,French Open,Kristof Vliegen,3,7,10,30.0
210,French Open,Kyle Edmund,7,4,11,63.63999999999999
211,French Open,Lars Burgsmuller,4,5,9,44.440000000000005
214,French Open,Leonardo Mayer,14,10,24,58.330000000000005
215,French Open,Lleyton Hewitt,28,13,41,68.28999999999999
217,French Open,Lucas Pouille,7,7,14,50.0
218,French Open,Luis Horna,5,6,11,45.45
219,French Open,Lukas Dlouhy,3,3,6,50.0
220,French Open,Lukas Lacko,1,5,6,16.669999999999998
221,French Open,Lukas Rosol,6,7,13,46.150000000000006
222,French Open,Lukasz Kubot,5,6,11,45.45
224,French Open,Magnus Norman,6,4,10,60.0
225,French Open,Malek Jaziri,3,6,9,33.33
226,French Open,Marat Safin,20,9,29,68.97
227,French Open,Marc Gicquel,4,8,12,33.33
230,French Open,Marcel Granollers,12,10,22,54.55
233,French Open,Marco Cecchinato,5,3,8,62.5
235,French Open,Marco Trungelliti,3,3,6,50.0
236,French Open,Marcos Baghdatis,10,13,23,43.480000000000004
237,French Open,Marcos Daniel,1,5,6,16.669999999999998
239,French Open,Mardy Fish,4,6,10,40.0
240,French Open,Mariano Puerta,11,5,16,68.75
241,French Open,Mariano Zabaleta,9,6,15,60.0
242,French Open,Marin Cilic,25,13,38,65.79
244,French Open,Mario Ancic,11,5,16,68.75
245,French Open,Mark Philippoussis,5,4,9,55.559999999999995
249,French Open,Martin Klizan,9,8,17,52.94
250,French Open,Martin Vassallo Arguello,6,5,11,54.55
251,French Open,Martin Verkerk,8,3,11,72.72999999999999
254,French Open,Mathieu Montcourt,3,3,6,50.0
256,French Open,Max Mirnyi,1,8,9,11.110000000000001
259,French Open,Maximo Gonzalez,3,4,7,42.86
260,French Open,Michael Berrer,3,5,8,37.5
261,French Open,Michael Chang,3,4,7,42.86
262,French Open,Michael Llodra,10,15,25,40.0
263,French Open,Michael Russell,3,7,10,30.0
265,French Open,Michel Kratochvil,3,4,7,42.86
268,French Open,Mikhail Kukushkin,4,8,12,33.33
269,French Open,Mikhail Youzhny,23,18,41,56.10000000000001
270,French Open,Milos Raonic,14,6,20,70.0
272,French Open,Mischa Zverev,2,8,10,20.0
273,French Open,Nick Kyrgios,5,5,10,50.0
274,French Open,Nicolas Almagro,24,14,38,63.160000000000004
275,French Open,Nicolas Coutelot,5,3,8,62.5
276,French Open,Nicolas Devilder,3,4,7,42.86
277,French Open,Nicolas Escude,3,5,8,37.5
279,French Open,Nicolas Kiefer,8,7,15,53.33
280,French Open,Nicolas Lapentti,10,10,20,50.0
281,French Open,Nicolas Mahut,8,17,25,32.0
282,French Open,Nicolas Massu,8,9,17,47.06
283,French Open,Nikolay Davydenko,26,13,39,66.67
284,French Open,Nikoloz Basilashvili,2,5,7,28.57
285,French Open,Novak Djokovic,68,14,82,82.93
287,French Open,Olivier Mutis,4,2,6,66.67
288,French Open,Olivier Patience,4,6,10,40.0
289,French Open,Olivier Rochus,7,11,18,38.89
291,French Open,Oscar Hernandez,5,7,12,41.67
293,French Open,Pablo Andujar,7,10,17,41.18
294,French Open,Pablo Carreno Busta,10,7,17,58.81999999999999
295,French Open,Pablo Cuevas,11,10,21,52.38
296,French Open,Paolo Lorenzi,1,8,9,11.110000000000001
297,French Open,Paradorn Srichaphan,3,6,9,33.33
299,French Open,Paul Capdeville,2,4,6,33.33
301,French Open,Paul Henri Mathieu,17,15,32,53.12
302,French Open,Pere Riba,2,4,6,33.33
305,French Open,Philipp Kohlschreiber,14,15,29,48.28
306,French Open,Philipp Petzschner,2,5,7,28.57
307,French Open,Pierre Hugues Herbert,4,5,9,44.440000000000005
308,French Open,Potito Starace,6,9,15,40.0
310,French Open,Radek Stepanek,14,13,27,51.849999999999994
311,French Open,Radu Albot,2,4,6,33.33
312,French Open,Raemon Sluiter,4,6,10,40.0
313,French Open,Rafael Nadal,93,2,95,97.89
314,French Open,Rainer Schuettler,4,11,15,26.669999999999998
316,French Open,Richard Gasquet,27,16,43,62.79
318,French Open,Robby Ginepri,6,9,15,40.0
320,French Open,Roberto Bautista Agut,14,7,21,66.67
322,French Open,Robin Haase,5,11,16,31.25
323,French Open,Robin Soderling,19,8,27,70.37
325,French Open,Roger Federer,70,16,86,81.39999999999999
326,French Open,Rogerio Dutra Silva,1,5,6,16.669999999999998
329,French Open,Ruben Ramirez Hidalgo,4,5,9,44.440000000000005
331,French Open,Ryan Harrison,1,5,6,16.669999999999998
333,French Open,Sam Querrey,5,12,17,29.409999999999997
334,French Open,Santiago Giraldo,4,12,16,25.0
335,French Open,Sargis Sargsian,4,6,10,40.0
338,French Open,Sebastien Grosjean,17,8,25,68.0
340,French Open,Sergiy Stakhovsky,7,10,17,41.18
341,French Open,Simone Bolelli,9,13,22,40.910000000000004
342,French Open,Sjeng Schalken,5,4,9,55.559999999999995
345,French Open,Stan Wawrinka,42,14,56,75.0
346,French Open,Stefan Koubek,5,8,13,38.46
347,French Open,Stefano Galvani,1,5,6,16.669999999999998
349,French Open,Stefanos Tsitsipas,4,3,7,57.14
350,French Open,Stephane Robert,2,7,9,22.220000000000002
351,French Open,Steve Darcis,4,9,13,30.769999999999996
352,French Open,Steve Johnson,7,7,14,50.0
353,French Open,Taro Daniel,2,4,6,33.33
356,French Open,Teymuraz Gabashvili,10,8,18,55.559999999999995
359,French Open,Thiemo De Bakker,2,4,6,33.33
360,French Open,Thierry Ascione,1,6,7,14.29
361,French Open,Thomas Enqvist,8,6,14,57.14
363,French Open,Thomas Johansson,3,7,10,30.0
365,French Open,Thomaz Bellucci,8,10,18,44.440000000000005
366,French Open,Tim Henman,14,8,22,63.63999999999999
