,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
367,Australian Open,Tomas Behrend,1,5,6,16.669999999999998
368,Australian Open,Tomas Berdych,47,16,63,74.6
370,Australian Open,Tommy Haas,21,12,33,63.63999999999999
371,Australian Open,Tommy Robredo,21,15,36,58.330000000000005
373,Australian Open,Vasek Pospisil,4,3,7,57.14
375,Australian Open,Victor Hanescu,4,11,15,26.669999999999998
376,Australian Open,Viktor Troicki,13,11,24,54.169999999999995
378,Australian Open,Vincent Spadea,3,8,11,27.27
380,Australian Open,Wayne Arthurs,6,8,14,42.86
382,Australian Open,Wayne Ferreira,16,5,21,76.19
385,Australian Open,Xavier Malisse,8,12,20,40.0
386,Australian Open,Yen Hsun Lu,7,11,18,38.89
387,Australian Open,Yevgeny Kafelnikov,12,4,16,75.0
388,Australian Open,Yoshihito Nishioka,3,4,7,42.86
389,Australian Open,Younes El Aynaoui,10,5,15,66.67
